Link, Anchor Text
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-16", ^
"http://www.huffingtonpost.com/2012/05/16/forbes-celebrity-100-jennifer-lopez-2012-list_n_1519288.html", "Forbes' Celebrity 100: Jennifer Lopez Tops The 2012 List"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-17", ^
"http://www.ibtimes.com/forbes-lists-top-100-most-powerful-celebrities-2013-oprah-winfrey-takes-number-one-spot-full-list", "Forbes Lists Top 100 Most Powerful Celebrities in 2013: Oprah Winfrey Takes Number One Spot [FULL LIST]"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-18", ^
"https://www.forbes.com/sites/dorothypomerantz/2014/06/30/beyonce-knowles-tops-the-forbes-celebrity-100-list/", "Beyoncé Knowles Tops The FORBES Celebrity 100 List"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-19", ^
"https://www.forbes.com/sites/zackomalleygreenburg/2015/06/29/celebrity-100-the-worlds-highest-paid-superstars-of-2015/", "Celebrity 100: The World's Highest-Paid Superstars Of 2015"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-forbes2016_20-0", ^
"https://www.forbes.com/sites/zackomalleygreenburg/2016/07/11/celeb-100-the-worlds-highest-paid-celebrities-of-2016", "Celebrity 100: The World's Highest-Paid Superstars Of 2016"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-forbes2017_21-0", ^
"https://www.forbes.com/sites/natalierobehmed/2017/06/12/celebrity-100-the-worlds-highest-paid-celebrities-of-2017", "Celebrity 100: The World's Highest-Paid Celebrities Of 2017"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-22", ^
"https://www.forbes.com/sites/forbespr/2018/07/16/forbes-releases-2018-celebrity-100-list-of-the-worlds-highest-paid-entertainers/#21b4402823b5", "Forbes Releases 2018 Celebrity 100 List Of The World's Highest-Paid Entertainers"
"https://en.wikipedia.org/wiki/Forbes_Celebrity_100#cite_ref-23", ^
